gene_name	uniprot_url	uniprot_id
AADAT	https://www.uniprot.org/uniprotkb/Q8N5Z0/entry	Q8N5Z0
SLC30A8	https://www.uniprot.org/uniprotkb/Q8IWU4/entry	Q8IWU4
CHL1	https://www.uniprot.org/uniprotkb/Q96FC9/entry	Q96FC9
ZNF385B	https://www.uniprot.org/uniprotkb/Q569K4/entry	Q569K4
DKFZP761K2322	https://www.uniprot.org/uniprotkb/Q96NM1/entry	Q96NM1
SKP2	https://www.uniprot.org/uniprotkb/Q13309/entry	Q13309
CHL1	https://www.uniprot.org/uniprotkb/Q96FC9/entry	Q96FC9
ANAPC4	https://www.uniprot.org/uniprotkb/Q9UJX5/entry	Q9UJX5
SKOR2	https://www.uniprot.org/uniprotkb/Q2VWA4/entry	Q2VWA4
IGF1R	https://www.uniprot.org/uniprotkb/P08069/entry	P08069
WBP4	https://www.uniprot.org/uniprotkb/O75554/entry	O75554
NKX2-5	https://www.uniprot.org/uniprotkb/P52952/entry	P52952
LARP4B	https://www.uniprot.org/uniprotkb/Q92615/entry	Q92615
RUNX1T1	https://www.uniprot.org/uniprotkb/Q06455/entry	Q06455
DEFB125	https://www.uniprot.org/uniprotkb/Q8N687/entry	Q8N687
RPH3AL	https://www.uniprot.org/uniprotkb/Q9UNE2/entry	Q9UNE2
SERPINA1	https://www.uniprot.org/uniprotkb/P01009/entry	P01009
FAM20C	https://www.uniprot.org/uniprotkb/Q8IXL6/entry	Q8IXL6
BMP4	https://www.uniprot.org/uniprotkb/P12644/entry	P12644
SMC2	https://www.uniprot.org/uniprotkb/O95347/entry	O95347
STK24	https://www.uniprot.org/uniprotkb/Q9Y6E0/entry	Q9Y6E0
FOXC1	https://www.uniprot.org/uniprotkb/Q12948/entry	Q12948
KLF12	https://www.uniprot.org/uniprotkb/Q9Y4X4/entry	Q9Y4X4
KCNQ5	https://www.uniprot.org/uniprotkb/Q9NR82/entry	Q9NR82
SAYSD1	https://www.uniprot.org/uniprotkb/Q9NPB0/entry	Q9NPB0
